1,1,1,1,f,100,14.6,0.9,0,0,95.11204164,0,1,6,2,1,1,-48,289.60843,0,0,0,0,1,1,1
2,2,1,2,f,100,10.5,2,0,0,112.5291282,0,1,4,2,1,1,-48,492.5102393,0,0,0,0,1,1,1
3,3,2,3,f,100,23,14.4,0,0,102.2846293,0,1,1,1,1,1,-48,42.91727173,0,0,0,0,1,1,1
4,4,2,4,f,100,20.8,12.1,0,0,70.12229036,0,1,1,2,1,1,-48,47.96295145,0,0,0,0,1,1,1
5,5,2,5,f,100,27.9,17.4,0,0,61.98912869,0,1,1,1,1,1,-48,21.40656309,0,0,0,0,1,1,1
6,6,4,6,f,100,57.8,16.4,0,0,19.8231293,0,1,7,3,1,1,48,1120.712393,0,0,0,0,1,1,1
7,7,5,7,f,100,90.6,22.4,0,0,77.50579919,0,1,6,7,1,1,-48,4272.577787,0,0,0,0,1,1,1
8,8,5,8,f,100,82.2,22.9,0,0,81.46214561,0,1,5,8,1,1,-48,3570.318606,0,0,0,0,1,1,1
9,9,7,9,f,100,240.8,79.1,0,0,53.04691828,0,1,12,10,1,1,-48,4981.405845,0,0,0,0,1,1,1
10,10,8,10,f,100,403.7,141.9,0,0,19.23118903,0,1,24,52,1,1,48,16224.14103,0,0,0,0,1,1,1
