==========================================================
DETAILED LAGRANGEAN AUGMENTATION REPORT: (CVS DATA FORMAT)
ITER, DUAL BEST, PRIM BEST, GAP (pu), ELAPSED TIME (mseg)
==========================================================
1, 389679.55281478947, 0.0, -1.0, 16
2, 389679.55281478947, 0.0, -1.0, 16
3, 389679.55281478947, 0.0, -1.0, 16
4, 389679.55281478947, 0.0, -1.0, 31
5, 389679.55281478947, 0.0, -1.0, 31
6, 389679.55281478947, 0.0, -1.0, 31
7, 389679.55281478947, 0.0, -1.0, 47
8, 389679.55281478947, 0.0, -1.0, 47
9, 389679.55281478947, 0.0, -1.0, 47
10, 389679.55281478947, 0.0, -1.0, 63
11, 389679.55281478947, 0.0, -1.0, 63
12, 389679.55281478947, 0.0, -1.0, 63
13, 389679.55281478947, 0.0, -1.0, 63
14, 389679.55281478947, 0.0, -1.0, 78
15, 389679.55281478947, 0.0, -1.0, 78
16, 389679.55281478947, 0.0, -1.0, 78
17, 389679.55281478947, 0.0, -1.0, 94
18, 389679.55281478947, 0.0, -1.0, 94
19, 389679.55281478947, 0.0, -1.0, 109
20, 389679.55281478947, 0.0, -1.0, 109
21, 389679.55281478947, 0.0, -1.0, 125
22, 389679.55281478947, 0.0, -1.0, 125
23, 389679.55281478947, 0.0, -1.0, 125
24, 389679.55281478947, 0.0, -1.0, 125
25, 389679.55281478947, 394908.54971744947, 0.01341871, 141
26, 389679.55281478947, 394908.54971744947, 0.01341871, 141
27, 389679.55281478947, 394908.54971744947, 0.01341871, 141
28, 389679.55281478947, 394908.54971744947, 0.01341871, 156
29, 389679.55281478947, 394908.54971744947, 0.01341871, 156
30, 389679.55281478947, 394908.54971744947, 0.01341871, 156
31, 389679.55281478947, 394908.54971744947, 0.01341871, 172
32, 389679.55281478947, 394908.54971744947, 0.01341871, 172
33, 389679.55281478947, 394908.54971744947, 0.01341871, 172
34, 389679.55281478947, 394908.54971744947, 0.01341871, 187
35, 389679.55281478947, 394908.54971744947, 0.01341871, 187
36, 389679.55281478947, 394908.54971744947, 0.01341871, 187
37, 389679.55281478947, 394908.54971744947, 0.01341871, 203
38, 389679.55281478947, 394908.54971744947, 0.01341871, 203
39, 389679.55281478947, 394908.54971744947, 0.01341871, 203
40, 389679.55281478947, 394908.54971744947, 0.01341871, 203
